PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_1,Backtracking,Yes,24,1.10,30.33,22,20,16,16,16,16,22,18,2359,56,8985952,100030000000600090084052030000000007205009480000020050010000605070000000009400020,126938574537614892984752136391845267265379481748126359813297645472563918659481723,14643172185000,14643180011100,7826,1
Puzzle_1,ConstraintPropagation,Yes,24,1.10,30.33,32,19,15,14,14,14,32,18,6,56,8997336,100030000000600090084052030000000007205009480000020050010000605070000000009400020,167938542523674198984152736891345267235769481746821359418293675372586914659417823,14643278763200,14643278907600,144,1
Puzzle_1,DPLLSAT,Yes,24,1.10,30.33,146,51,43,46,57,43,146,68,2,729,72591376,100030000000600090084052030000000007205009480000020050010000605070000000009400020,126934578537641892984152736391584267265379481743826159812793645478265319659417823,14643376880100,14643377108800,228,1
Puzzle_1,DLX,Yes,24,1.10,30.33,12,11,13,12,12,11,13,12,111,57,9007008,100030000000600090084052030000000007205009480000020050010000605070000000009400020,167938542523674198984152736891345267235769481746821359418293675372586914659417823,14643725758600,14643725903300,144,1
Puzzle_2,Backtracking,Yes,23,1.21,31.84,24,26,25,24,17,17,26,23,6689,57,13203192,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,14643795374200,14643795565700,191,1
Puzzle_2,ConstraintPropagation,Yes,23,1.21,31.84,17,17,16,17,17,16,17,16,33,57,9011168,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,14643914628700,14643914707200,78,1
Puzzle_2,DPLLSAT,Yes,23,1.21,31.84,54,57,47,50,47,47,57,51,2,729,24359136,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,14644000781000,14644000864500,83,1
Puzzle_2,DLX,Yes,23,1.21,31.84,9,12,11,11,11,9,12,10,64,58,9014720,700010000000530000086090000009000020000008000320400010600000450000000130047080200,732814965914536782586792341879153624461928573325467819693271458258649137147385296,14644257906900,14644258299500,392,1
Puzzle_3,Backtracking,Yes,23,1.04,30.06,15,15,16,16,15,15,16,15,4892,57,9016504,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,14644314969900,14644315041900,72,1
Puzzle_3,ConstraintPropagation,Yes,23,1.04,30.06,14,13,15,13,13,13,15,13,12,57,9017752,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,14644394202700,14644394290700,88,1
Puzzle_3,DPLLSAT,Yes,23,1.04,30.06,69,48,52,48,44,44,69,52,1,729,28744144,007420000010900000000001030000800720040070580300000010030060000900030050000009001,567423198413987265294651837659814723142376589378295416735168942981732654826549371,14644465658700,14644465834400,175,1
Puzzle_3,DLX,Yes,23,1.04,30.06,11,11,13,11,12,11,13,11,61,58,9019504,007420000010900000000001030000800720040070580300000010030060000900030050000009001,857423196613987245429651837596814723142376589378592614234165978961738452785249361,14644730860200,14644730963300,103,1
Puzzle_4,Backtracking,Yes,25,1.18,30.76,14,11,14,13,12,11,14,12,1390,55,9022240,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,14644792331900,14644792500900,169,1
Puzzle_4,ConstraintPropagation,Yes,25,1.18,30.76,12,13,13,11,12,11,13,12,4,55,9023968,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132748659657329481894165237249583176581672943376491825468937512725816394913254768,14644859846300,14644859963500,117,1
Puzzle_4,DPLLSAT,Yes,25,1.18,30.76,54,48,45,48,45,45,54,48,1,729,34890376,002008609050300000004105000000000176000002040070000805060900000020010000910050700,132478659856394217694125387243589176581762943379641825467983512725816394918253764,14644923254200,14644923469700,215,1
