PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_92,DPLLSAT,Yes,130,1.85,23.39,2255,2264,2207,2223,2169,2169,2264,2223,0,4096,368343736,0614109004002125110004015000000130092501301200414108915106815001306051603041410716120241101500013100513001401590000030006100500080031107000011361207041650000143101202058076000910007840001016110009802100140000016600071603615020131108014160015901001100003121121000001390000000000100301501307900400361082161214051507,10614189316471521251113312471510514161113816925111316127241410891513681529131611516123741410716128241131519141310651341145159107861232161161095141618132311471512152113612137104165149181431012112165815761134915613784931410161112215981521013141121154166731171643615122913110851416137159141061154823121121811457139321561410162145101631215613179118449361118216121410515137,2895053451600,2895053512200,60,1
Puzzle_92,DLX,Yes,130,1.85,23.39,8,11,9,10,14,8,14,10,126,126,9579520,0614109004002125110004015000000130092501301200414108915106815001306051603041410716120241101500013100513001401590000030006100500080031107000011361207041650000143101202058076000910007840001016110009802100140000016600071603615020131108014160015901001100003121121000001390000000000100301501307900400361082161214051507,10614189316471521251113312471510514161113816925111316127241410891513681529131611516123741410716128241131519141310651341145159107861232161161095141618132311471512152113612137104165149181431012112165815761134915613784931410161112215981521013141121154166731171643615122913110851416137159141061154823121121811457139321561410162145101631215613179118449361118216121410515137,2906179359100,2906179395400,36,1
Puzzle_93,Backtracking,Yes,130,1.77,22.94,710,699,712,727,727,699,727,715,748171,125,99796776,0030161471240906110060110013014001502300417265151211001600100151600010900007041216015051184000200603000150000004090000120302130100105009132000140031258150160081205031660000134011008006050791612155000070013150140026030013011201290147050013090121410010040215160910000614111312007007301340000861016141100000016420120000,13123516147124109156118106911124138141671552318417265151211133161491014151621131098156713412167151051184913142112633511115121610786429141361412839213151016145711913246114711312581510167981214515316621110113421114138101635479161215511016479121315814113264361513161121129101478511813691512141071163452151649102356141113128171227311341159158610161411051478616423121311159,2906235735500,2906235774600,39,1
Puzzle_93,ConstraintPropagation,Yes,130,1.77,22.94,9,10,10,11,11,9,11,10,0,125,11683128,0030161471240906110060110013014001502300417265151211001600100151600010900007041216015051184000200603000150000004090000120302130100105009132000140031258150160081205031660000134011008006050791612155000070013150140026030013011201290147050013090121410010040215160910000614111312007007301340000861016141100000016420120000,13123516147124109156118106911124138141671552318417265151211133161491014151621131098156713412167151051184913142112633511115121610786429141361412839213151016145711913246114711312581510167981214515316621110113421114138101635479161215511016479121315814113264361513161121129101478511813691512141071163452151649102356141113128171227311341159158610161411051478616423121311159,2909816904900,2909816944300,39,1
Puzzle_93,DPLLSAT,Yes,130,1.77,22.94,2180,2202,2197,2159,2193,2159,2202,2186,0,4096,379809848,0030161471240906110060110013014001502300417265151211001600100151600010900007041216015051184000200603000150000004090000120302130100105009132000140031258150160081205031660000134011008006050791612155000070013150140026030013011201290147050013090121410010040215160910000614111312007007301340000861016141100000016420120000,13123516147124109156118106911124138141671552318417265151211133161491014151621131098156713412167151051184913142112633511115121610786429141361412839213151016145711913246114711312581510167981214515316621110113421114138101635479161215511016479121315814113264361513161121129101478511813691512141071163452151649102356141113128171227311341159158610161411051478616423121311159,2909872045900,2909872080900,35,1
Puzzle_93,DLX,Yes,130,1.77,22.94,9,9,12,9,10,9,12,9,126,126,9588544,0030161471240906110060110013014001502300417265151211001600100151600010900007041216015051184000200603000150000004090000120302130100105009132000140031258150160081205031660000134011008006050791612155000070013150140026030013011201290147050013090121410010040215160910000614111312007007301340000861016141100000016420120000,13123516147124109156118106911124138141671552318417265151211133161491014151621131098156713412167151051184913142112633511115121610786429141361412839213151016145711913246114711312581510167981214515316621110113421114138101635479161215511016479121315814113264361513161121129101478511813691512141071163452151649102356141113128171227311341159158610161411051478616423121311159,2920808206500,2920808242000,35,1
Puzzle_94,Backtracking,Yes,130,1.54,21.68,42,46,41,42,41,41,46,42,32514,125,24265144,11462801309000000013012000390000411060003000504020981001000040011870150132820907031610400120110031501101000120140000120000140706000160000016012130915801030140045160100011063845016013078001112014210031580001609105130300061201402137000002115140100600079101301200061510165011071604012150030901401601516010000147015012,11462810131591611237145138121723951510144111661571631411156413212981051091412461611873151132821391571431610456121111663151311510121281449714125109814371162131516111476162121314915851031214713451621091511163845151610139786311121214211163158147121649105139310816121114521371641531521151441121361016879101314122976151816531147168411121513235910146169151631084111471315212,2920862979300,2920863022100,42,1
Puzzle_94,ConstraintPropagation,Yes,130,1.54,21.68,11,10,10,11,12,10,12,10,0,125,9587800,11462801309000000013012000390000411060003000504020981001000040011870150132820907031610400120110031501101000120140000120000140706000160000016012130915801030140045160100011063845016013078001112014210031580001609105130300061201402137000002115140100600079101301200061510165011071604012150030901401601516010000147015012,11462810131591611237145138121723951510144111661571631411156413212981051091412461611873151132821391571431610456121111663151311510121281449714125109814371162131516111476162121314915851031214713451621091511163845151610139786311121214211163158147121649105139310816121114521371641531521151441121361016879101314122976151816531147168411121513235910146169151631084111471315212,2921079491200,2921079550200,59,1
Puzzle_94,DPLLSAT,Yes,130,1.54,21.68,2485,2201,2248,2270,2183,2183,2485,2277,0,4096,378099928,11462801309000000013012000390000411060003000504020981001000040011870150132820907031610400120110031501101000120140000120000140706000160000016012130915801030140045160100011063845016013078001112014210031580001609105130300061201402137000002115140100600079101301200061510165011071604012150030901401601516010000147015012,11462810131591611237145138121723951510144111661571631411156413212981051091412461611873151132821391571431610456121111663151311510121281449714125109814371162131516111476162121314915851031214713451621091511163845151610139786311121214211163158147121649105139310816121114521371641531521151441121361016879101314122976151816531147168411121513235910146169151631084111471315212,2921138333700,2921138367200,33,1
Puzzle_94,DLX,Yes,130,1.54,21.68,6,10,9,10,8,6,10,8,126,126,9594208,11462801309000000013012000390000411060003000504020981001000040011870150132820907031610400120110031501101000120140000120000140706000160000016012130915801030140045160100011063845016013078001112014210031580001609105130300061201402137000002115140100600079101301200061510165011071604012150030901401601516010000147015012,11462810131591611237145138121723951510144111661571631411156413212981051091412461611873151132821391571431610456121111663151311510121281449714125109814371162131516111476162121314915851031214713451621091511163845151610139786311121214211163158147121649105139310816121114521371641531521151441121361016879101314122976151816531147168411121513235910146169151631084111471315212,2932530528400,2932530563200,34,1
