PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_7,DLX,Yes,128,1.73,22.96,5,4,4,3,3,3,5,3,128,128,1321640,0101512008001606050000800030011054137150031467098000211000020001543001210140021560013034149016101101300100110715000820480015160013000900000005201261600140150004601300701231400754200151431100010160003080516000040110010812001100007251601034080150011091050415010901108017014100137500120031600000110900014000051632,11101512131482716469513916861012312111454137151431467598101315211161275213111615439112101468215618131234149716101151312161091147151531482648145151616101321139127397111452101261681514131511124616135871012314912754291151431113861016146937810516212113415111613108123141115469725162116347813155141112910534151610961112821713141014137521112913166158481112911513146710451632,14040983990800,14040984066800,76,1
Puzzle_8,Backtracking,Yes,130,1.73,22.73,8,17,7,21,6,6,21,11,4689,125,1317624,810000000000167135121295061513010481400100140080011590000463641650014110000001500614001057912015001002915501300300611000130061001101390816167110983401140001301131601000900521500802810000600000117311314500020611150009615001111659873201000160001400002041200000016391200014001504000210035160000714010130600015000500,81015149113142616713512129511615137134814162107141328161211591051134636416510214111312789115138614112116579121015341012291557138163416111454131412610211151397816167111598346114101221351131671013149412521516892810124156161413151173113145378210611151641296151241111659873214101315163613145871021141291257816391213411461015114119122110153516613814714110137641112158935162,14041003335400,14041003392900,57,1
Puzzle_8,ConstraintPropagation,Yes,130,1.73,22.73,5,5,3,4,5,3,5,4,0,125,1318312,810000000000167135121295061513010481400100140080011590000463641650014110000001500614001057912015001002915501300300611000130061001101390816167110983401140001301131601000900521500802810000600000117311314500020611150009615001111659873201000160001400002041200000016391200014001504000210035160000714010130600015000500,81015149113142616713512129511615137134814162107141328161211591051134636416510214111312789115138614112116579121015341012291557138163416111454131412610211151397816167111598346114101221351131671013149412521516892810124156161413151173113145378210611151641296151241111659873214101315163613145871021141291257816391213411461015114119122110153516613814714110137641112158935162,14041062806600,14041062856500,49,1
Puzzle_8,DPLLSAT,Yes,130,1.73,22.73,2040,1953,1994,1965,1987,1953,2040,1987,0,4096,432770864,810000000000167135121295061513010481400100140080011590000463641650014110000001500614001057912015001002915501300300611000130061001101390816167110983401140001301131601000900521500802810000600000117311314500020611150009615001111659873201000160001400002041200000016391200014001504000210035160000714010130600015000500,81015149113142616713512129511615137134814162107141328161211591051134636416510214111312789115138614112116579121015341012291557138163416111454131412610211151397816167111598346114101221351131671013149412521516892810124156161413151173113145378210611151641296151241111659873214101315163613145871021141291257816391213411461015114119122110153516613814714110137641112158935162,14041085137800,14041085301700,163,1
Puzzle_8,DLX,Yes,130,1.73,22.73,5,3,4,3,4,3,5,3,126,126,1316976,810000000000167135121295061513010481400100140080011590000463641650014110000001500614001057912015001002915501300300611000130061001101390816167110983401140001301131601000900521500802810000600000117311314500020611150009615001111659873201000160001400002041200000016391200014001504000210035160000714010130600015000500,81015149113142616713512129511615137134814162107141328161211591051134636416510214111312789115138614112116579121015341012291557138163416111454131412610211151397816167111598346114101221351131671013149412521516892810124156161413151173113145378210611151641296151241111659873214101315163613145871021141291257816391213411461015114119122110153516613814714110137641112158935162,14051026306700,14051026371100,64,1
Puzzle_9,Backtracking,Yes,130,1.56,21.79,4,5,3,4,4,3,5,4,1020,125,1320256,5600001230000154000001400741300111801604213150091637614005008121101604900030130530001500131080000001026167843000140146410008215011371310011010400000020120711512000060000030000613008103020000300070014113150616869128161401004000050100167910000000150214135001520070166119480060001150590140012015050011608413107,56167131123101411815429315914267413512111810161142131510891637614121510181211516144915273613953214111571213110816461512131926167843105111416146410125821591137131781110134135166149215121371151281129616541014341614561311581031229711231011479514113151261686912816143101142711351511141679106312141351582141353815212171016611948276341311511591614121012101595161411628413137,14051045632600,14051045755200,122,1
Puzzle_9,ConstraintPropagation,Yes,130,1.56,21.79,6,6,5,6,3,3,6,5,0,125,1323256,5600001230000154000001400741300111801604213150091637614005008121101604900030130530001500131080000001026167843000140146410008215011371310011010400000020120711512000060000030000613008103020000300070014113150616869128161401004000050100167910000000150214135001520070166119480060001150590140012015050011608413107,56167131123101411815429315914267413512111810161142131510891637614121510181211516144915273613953214111571213110816461512131926167843105111416146410125821591137131781110134135166149215121371151281129616541014341614561311581031229711231011479514113151261686912816143101142711351511141679106312141351582141353815212171016611948276341311511591614121012101595161411628413137,14051066219400,14051066267700,48,1
Puzzle_9,DPLLSAT,Yes,130,1.56,21.79,1999,1978,1927,1990,1923,1923,1999,1963,0,4096,392563680,5600001230000154000001400741300111801604213150091637614005008121101604900030130530001500131080000001026167843000140146410008215011371310011010400000020120711512000060000030000613008103020000300070014113150616869128161401004000050100167910000000150214135001520070166119480060001150590140012015050011608413107,56167131123101411815429315914267413512111810161142131510891637614121510181211516144915273613953214111571213110816461512131926167843105111416146410125821591137131781110134135166149215121371151281129616541014341614561311581031229711231011479514113151261686912816143101142711351511141679106312141351582141353815212171016611948276341311511591614121012101595161411628413137,14051092668400,14051092724000,55,1
Puzzle_9,DLX,Yes,130,1.56,21.79,5,4,3,3,2,2,5,3,126,126,1327656,5600001230000154000001400741300111801604213150091637614005008121101604900030130530001500131080000001026167843000140146410008215011371310011010400000020120711512000060000030000613008103020000300070014113150616869128161401004000050100167910000000150214135001520070166119480060001150590140012015050011608413107,56167131123101411815429315914267413512111810161142131510891637614121510181211516144915273613953214111571213110816461512131926167843105111416146410125821591137131781110134135166149215121371151281129616541014341614561311581031229711231011479514113151261686912816143101142711351511141679106312141351582141353815212171016611948276341311511591614121012101595161411628413137,14060909587500,14060909661900,74,1
Puzzle_10,Backtracking,Yes,132,1.55,21.51,16,19,13,18,15,13,19,16,13388,123,1330352,212156413011011051400009106021400000350080100001610014641303000708561613210012121301041400000150000020830012000410140400001031415810112501000157112130610900001211000816020051511508301440510000060000160008150001303160045191500060714107601590041412101300110011013861225000140900140000096111650120905000000130036015,21215641331101175148916139116610214158412113575871011121516193146413231141479856161321151012121381041497251115166131115213835612101694171464971216113314158101125141016515711213461129381014121136138167249515115783214410519131612116156916111278151410213431621345191511312687141076101595164141213132811431111386122510157141698131421157396111651012491651214210114138736115,14060926832400,14060927123100,290,1
