PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_19,DLX,Yes,24,1.01,29.47,6,4,16,5,20,4,20,10,57,57,1355968,100700035045000000700000620000401000050030006000000007006009100401008050008007000,129764835645283971783915624862471593957832416314596287276359148431628759598147362,13586548804700,13586548883800,79,1
Puzzle_20,Backtracking,Yes,24,1.27,32.11,39,47,48,27,31,27,48,38,26146,56,7647544,060005070400000065000000820500306200000800000080009000003100087906002050001000000,168235479432978165795461823517346298629817534384529716253194687946782351871653942,13586601506200,13586601561400,55,1
Puzzle_20,ConstraintPropagation,Yes,24,1.27,32.11,7,8,9,8,9,7,9,8,45,56,1705504,060005070400000065000000820500306200000800000080009000003100087906002050001000000,168235479432978165795461823517346298629817534384529716253194687946782351871653942,13586797004600,13586797061800,57,1
Puzzle_20,DPLLSAT,Yes,24,1.27,32.11,329,301,318,296,302,296,329,309,5,729,205444328,060005070400000065000000820500306200000800000080009000003100087906002050001000000,168235479432978165795461823517346298629817534384529716253194687946782351871653942,13586838538000,13586838586700,48,1
Puzzle_20,DLX,Yes,24,1.27,32.11,6,5,5,4,4,4,6,4,135,57,1361320,060005070400000065000000820500306200000800000080009000003100087906002050001000000,168235479432978165795461823517346298629817534384529716253194687946782351871653942,13588386246400,13588386299900,53,1
Puzzle_21,Backtracking,Yes,22,0.89,29.04,8,7,8,7,7,7,8,7,2976,58,1362328,008600090000003400000070200060020001300060000421000008045000007000000030000900010,738642195512893476694571283867429351359168742421735968945316827176284539283957614,13588410718900,13588410769900,51,1
Puzzle_21,ConstraintPropagation,Yes,22,0.89,29.04,15,10,13,9,21,9,21,13,78,58,1364464,008600090000003400000070200060020001300060000421000008045000007000000030000900010,738642195512893476694571283867429351359168742421735968945316827176284539283957614,13588447948000,13588448002300,54,1
Puzzle_21,DPLLSAT,Yes,22,0.89,29.04,338,331,314,328,309,309,338,324,6,729,207468224,008600090000003400000070200060020001300060000421000008045000007000000030000900010,738642195512893476694571283867429351359168742421735968945316827176284539283957614,13588514863800,13588514919100,55,1
Puzzle_21,DLX,Yes,22,0.89,29.04,7,3,4,4,5,3,7,4,197,59,1364304,008600090000003400000070200060020001300060000421000008045000007000000030000900010,738642195512893476694571283867429351359168742421735968945316827176284539283957614,13590137148300,13590137222500,74,1
Puzzle_22,Backtracking,Yes,23,0.94,29.11,7,8,7,7,8,7,8,7,3216,57,1366792,000090001070063204300008000020000090060804000001000000507000009000000640008100005,486297531179563284352418967724651893965834712831729456547386129213975648698142375,13590159821700,13590159871600,49,1
